Frame,Particles,OpenMP_ms,CUDA_ms,Speedup,Density,Stiffness,Viscosity,SupportRadius
100,864,23.7728,10.4635,2.27198,1000,1000,0.5,0.5
200,864,35.1525,10.3534,3.39527,1000,1000,25.5,0.5
300,864,36.4825,10.2673,3.55328,1000,1000,16.572,0.5
400,864,34.9321,10.3217,3.38434,1000,1000,16.572,0.5
500,864,37.1944,10.3013,3.61067,1000,1000,1.096,0.5
600,864,36.2876,10.3034,3.52192,1000,1000,1.096,0.5
700,864,39.0171,10.2499,3.80659,1000,12904.9,1.096,0.5
800,864,38.6504,10.2778,3.76056,1000,5762.01,1.096,0.5
900,864,37.1447,10.2909,3.60945,1000,5762.01,1.096,0.5
1000,864,37.5108,10.3061,3.63967,1000,5762.01,6.453,0.5
1100,864,37.3639,10.3157,3.62205,1000,5762.01,6.453,0.5
1200,864,36.6489,10.331,3.54748,1000,5762.01,6.453,0.5
1300,864,37.8425,10.3212,3.66647,1000,5762.01,6.453,0.5
1400,864,38.4907,10.3247,3.72802,1000,5762.01,6.453,0.5
1500,864,38.8331,10.3448,3.75388,1000,5762.01,6.453,0.5
1600,864,39.0403,10.3509,3.7717,1000,5762.01,6.453,0.5
1700,864,39.1392,10.3731,3.77314,1000,5762.01,6.453,0.5
1800,864,39.3397,10.3809,3.78962,1000,5762.01,6.453,0.5
1900,864,39.3711,10.3964,3.78698,1000,5762.01,6.453,0.5
2000,864,39.3758,10.3987,3.78662,1000,5762.01,6.453,0.5
2100,864,39.355,10.4034,3.78288,1000,5762.01,6.453,0.5
2200,864,39.334,10.4034,3.78088,1000,5762.01,6.453,0.5
2300,864,39.332,10.4061,3.77971,1000,5762.01,6.453,0.5
2400,864,39.2972,10.407,3.77605,1000,5762.01,6.453,0.5
