Frame,Particles,OpenMP_ms,CUDA_ms,Speedup,Density,Stiffness,Viscosity,SupportRadius
100,2048,84.9504,13.5954,6.24847,1000,1000,0.5,0.45
200,2048,101.7,13.562,7.49887,1000,1000,0.5,0.45
300,2048,98.6101,13.8362,7.12697,1000,1000,8.833,0.45
400,2048,93.6686,13.869,6.75381,1000,20047.6,8.833,0.45
500,2048,92.444,13.9519,6.62593,1000,20047.6,8.833,0.45
600,2048,90.4586,14.0123,6.45566,1000,20047.6,8.833,0.45
700,2048,88.8036,14.0657,6.31348,1000,20047.6,8.833,0.45
800,2048,87.5128,14.0994,6.20685,1000,20047.6,8.833,0.45
900,2048,86.7399,14.1012,6.15125,1000,20047.6,8.833,0.45
