Frame,Particles,OpenMP_ms,CUDA_ms,Speedup,Density,Stiffness,Viscosity,SupportRadius
100,2048,84.9504,13.5954,6.24847,1000,1000,0.5,0.45
200,2048,101.7,13.562,7.49887,1000,1000,0.5,0.45
300,2048,98.6101,13.8362,7.12697,1000,1000,8.833,0.45
400,2048,93.6686,13.869,6.75381,1000,20047.6,8.833,0.45
500,2048,92.444,13.9519,6.62593,1000,20047.6,8.833,0.45
600,2048,90.4586,14.0123,6.45566,1000,20047.6,8.833,0.45
700,2048,88.8036,14.0657,6.31348,1000,20047.6,8.833,0.45
800,2048,87.5128,14.0994,6.20685,1000,20047.6,8.833,0.45
900,2048,86.7399,14.1012,6.15125,1000,20047.6,8.833,0.45
1000,2048,87.4842,14.1062,6.20183,1000,20047.6,8.833,0.45
1100,2048,86.8133,14.0993,6.15729,1000,20047.6,50,0.45
1200,2048,85.7948,14.0917,6.08831,1000,20047.6,50,0.45
1300,2048,84.3052,14.0496,6.00053,1000,20047.6,50,0.45
1400,2048,84.6159,14.0593,6.0185,1000,20047.6,50,0.45
1500,2048,86.0317,14.0634,6.11744,1000,20047.6,50,0.45
1600,2048,85.0986,14.0427,6.05999,1000,20047.6,50,0.45
1700,2048,85.2673,14.0543,6.067,1000,20047.6,17.857,0.45
1800,2048,85.2625,14.0705,6.05965,1000,58142.9,12.5,0.45
1900,2048,84.982,14.0837,6.03408,1000,58142.9,12.5,0.45
2000,2048,84.6455,14.0947,6.0055,1000,58142.9,12.5,0.45
2100,2048,84.372,14.0866,5.9895,1000,58142.9,12.5,0.45
2200,2048,84.1234,14.1012,5.96571,1000,58142.9,12.5,0.45
